iter	Passed	Remaining
0	14	2760
1	26	2575
2	39	2520
3	52	2484
4	65	2449
5	77	2424
6	90	2397
7	102	2381
8	115	2357
9	127	2331
10	140	2319
11	152	2302
12	165	2285
13	177	2270
14	190	2254
15	203	2247
16	215	2235
17	228	2217
18	240	2200
19	252	2187
20	265	2173
21	277	2160
22	290	2145
23	303	2136
24	316	2125
25	328	2111
26	341	2097
27	353	2084
28	366	2070
29	378	2056
30	391	2046
31	404	2033
32	416	2020
33	429	2006
34	442	1995
35	455	1984
36	467	1970
37	479	1956
38	492	1943
39	504	1931
40	517	1918
41	530	1905
42	542	1891
43	554	1878
44	567	1865
45	579	1851
46	592	1839
47	604	1827
48	617	1813
49	629	1801
50	642	1787
51	654	1774
52	667	1761
53	679	1748
54	691	1736
55	704	1724
56	717	1711
57	730	1699
58	742	1687
59	755	1675
60	770	1667
61	782	1654
62	796	1642
63	810	1633
64	824	1623
65	836	1610
66	849	1598
67	862	1584
68	874	1571
69	887	1559
70	900	1548
71	913	1535
72	927	1523
73	939	1511
74	952	1499
75	965	1487
76	979	1475
77	992	1463
78	1005	1451
79	1018	1438
80	1031	1426
81	1043	1413
82	1056	1400
83	1069	1387
84	1081	1374
85	1094	1362
86	1108	1350
87	1121	1337
88	1134	1325
89	1147	1312
90	1159	1299
91	1172	1286
92	1184	1274
93	1197	1261
94	1210	1248
95	1224	1237
96	1237	1224
97	1250	1212
98	1263	1199
99	1276	1187
100	1289	1174
101	1302	1162
102	1315	1149
103	1329	1138
104	1345	1127
105	1359	1115
106	1372	1103
107	1385	1090
108	1398	1077
109	1411	1064
110	1423	1051
111	1436	1038
112	1449	1026
113	1462	1013
114	1474	1000
115	1475	979
116	1488	966
117	1500	953
118	1512	940
119	1524	927
120	1536	914
121	1549	901
122	1561	888
123	1574	875
124	1586	863
125	1599	850
126	1611	837
127	1624	824
128	1636	812
129	1649	799
130	1662	786
131	1674	774
132	1687	761
133	1700	748
134	1712	735
135	1725	723
136	1738	710
137	1750	697
138	1763	685
139	1775	672
140	1790	660
141	1802	647
142	1815	634
143	1827	621
144	1840	609
145	1853	596
146	1865	583
147	1877	570
148	1890	558
149	1903	545
150	1915	532
151	1928	520
152	1941	507
153	1954	494
154	1966	482
155	1979	469
156	1991	456
157	2003	443
158	2015	431
159	2027	418
160	2040	405
161	2052	392
162	2065	380
163	2077	367
164	2090	354
165	2102	342
166	2115	329
167	2127	316
168	2140	303
169	2152	291
170	2164	278
171	2177	265
172	2189	253
173	2202	240
174	2214	227
175	2228	215
176	2240	202
177	2253	189
178	2265	177
179	2278	164
180	2291	151
181	2303	139
182	2315	126
183	2328	113
184	2340	101
185	2352	88
186	2365	75
187	2378	63
188	2391	50
189	2403	37
190	2416	25
191	2428	12
192	2440	0
